,MIN,PTS,AST,LEADER
313,10402.0,5647.0,780.0,NONLEADER
314,22410.0,10128.0,2629.0,NONLEADER
315,19678.0,9743.0,831.0,NONLEADER
316,7581.0,2407.0,676.0,NONLEADER
317,26870.0,10100.0,1639.0,NONLEADER
318,2738.0,939.0,197.0,NONLEADER
319,3590.0,1476.0,360.0,NONLEADER
320,57.0,16.0,3.0,NONLEADER
321,2642.0,745.0,134.0,NONLEADER
322,14821.0,6096.0,1518.0,NONLEADER
323,6752.0,2812.0,275.0,NONLEADER
324,28744.0,15930.0,2288.0,NONLEADER
325,3.0,2.0,0.0,NONLEADER
326,8445.0,4254.0,1413.0,NONLEADER
327,10165.0,2941.0,943.0,NONLEADER
328,3858.0,1953.0,674.0,NONLEADER
329,24666.0,13341.0,3216.0,NONLEADER
330,5641.0,1758.0,1121.0,NONLEADER
331,8200.0,3114.0,458.0,NONLEADER
332,541.0,183.0,70.0,NONLEADER
333,27635.0,16457.0,1978.0,NONLEADER
334,623.0,157.0,45.0,NONLEADER
335,320.0,134.0,44.0,NONLEADER
336,16748.0,10779.0,1020.0,NONLEADER
337,9240.0,3035.0,1598.0,NONLEADER
338,2209.0,614.0,132.0,NONLEADER
339,15891.0,5069.0,2067.0,NONLEADER
340,1281.0,574.0,123.0,NONLEADER
341,18223.0,9858.0,1554.0,NONLEADER
342,40014.0,17422.0,7624.0,NONLEADER
343,29121.0,20056.0,4696.0,NONLEADER
344,1715.0,552.0,161.0,NONLEADER
345,3853.0,1460.0,163.0,NONLEADER
346,7375.0,4859.0,1710.0,NONLEADER
347,9966.0,3913.0,707.0,NONLEADER
348,15049.0,5098.0,1180.0,NONLEADER
349,13957.0,8200.0,657.0,NONLEADER
350,79.0,47.0,8.0,NONLEADER
351,468.0,202.0,40.0,NONLEADER
352,57.0,9.0,2.0,NONLEADER
353,2684.0,1014.0,170.0,NONLEADER
354,6751.0,3256.0,488.0,NONLEADER
355,8964.0,3262.0,1678.0,NONLEADER
356,10442.0,4367.0,578.0,NONLEADER
357,16905.0,13806.0,3973.0,NONLEADER
358,966.0,597.0,52.0,NONLEADER
359,11927.0,5040.0,1121.0,NONLEADER
360,5532.0,1890.0,400.0,NONLEADER
361,55.0,8.0,5.0,NONLEADER
362,100.0,41.0,14.0,NONLEADER
363,3954.0,1564.0,544.0,NONLEADER
364,3470.0,1520.0,311.0,NONLEADER
365,13481.0,7077.0,2156.0,NONLEADER
366,21.0,2.0,1.0,NONLEADER
367,16767.0,8221.0,976.0,NONLEADER
368,11807.0,6390.0,1638.0,NONLEADER
369,207.0,41.0,20.0,NONLEADER
370,2048.0,911.0,346.0,NONLEADER
371,19302.0,7002.0,2996.0,NONLEADER
372,1607.0,619.0,86.0,NONLEADER
373,6073.0,2642.0,1100.0,NONLEADER
374,23002.0,10114.0,1541.0,NONLEADER
375,2325.0,1208.0,136.0,NONLEADER
376,8833.0,4680.0,347.0,NONLEADER
377,792.0,393.0,104.0,NONLEADER
378,22912.0,8589.0,2563.0,NONLEADER
379,1250.0,552.0,60.0,NONLEADER
380,8266.0,1927.0,423.0,NONLEADER
381,1083.0,427.0,53.0,NONLEADER
382,9827.0,2821.0,508.0,NONLEADER
383,474.0,135.0,26.0,NONLEADER
384,5286.0,1744.0,351.0,NONLEADER
385,7716.0,3156.0,703.0,NONLEADER
386,852.0,228.0,36.0,NONLEADER
387,9832.0,5492.0,473.0,NONLEADER
388,21148.0,9709.0,1743.0,NONLEADER
389,38396.0,17200.0,7033.0,NONLEADER
390,12882.0,6523.0,1108.0,NONLEADER
391,3931.0,1430.0,396.0,NONLEADER
392,8006.0,2604.0,205.0,NONLEADER
393,10248.0,4119.0,1573.0,NONLEADER
394,6773.0,3638.0,489.0,NONLEADER
395,2668.0,1260.0,32.0,NONLEADER
396,3978.0,1701.0,215.0,NONLEADER
397,453.0,163.0,23.0,NONLEADER
398,1361.0,421.0,62.0,NONLEADER
399,7296.0,2922.0,370.0,NONLEADER
400,18267.0,8919.0,805.0,NONLEADER
401,19.0,10.0,1.0,NONLEADER
402,6153.0,2537.0,642.0,NONLEADER
403,342.0,155.0,22.0,NONLEADER
404,8282.0,4617.0,524.0,NONLEADER
405,1254.0,486.0,62.0,NONLEADER
406,10050.0,4215.0,1107.0,NONLEADER
407,5657.0,2337.0,203.0,NONLEADER
408,1927.0,811.0,174.0,NONLEADER
409,34044.0,11537.0,3673.0,NONLEADER
410,7895.0,3152.0,522.0,NONLEADER
411,23378.0,15984.0,5314.0,NONLEADER
412,2256.0,928.0,231.0,NONLEADER
413,0.0,0.0,0.0,NONLEADER
414,32628.0,18210.0,3045.0,NONLEADER
415,1393.0,540.0,57.0,NONLEADER
416,18293.0,10141.0,1149.0,NONLEADER
417,6060.0,2974.0,409.0,NONLEADER
418,6081.0,1967.0,325.0,NONLEADER
419,16268.0,6873.0,916.0,NONLEADER
420,920.0,322.0,62.0,NONLEADER
421,6640.0,2834.0,374.0,NONLEADER
422,1941.0,681.0,179.0,NONLEADER
423,178.0,75.0,7.0,NONLEADER
424,4073.0,1530.0,189.0,NONLEADER
425,824.0,195.0,55.0,NONLEADER
426,1339.0,468.0,114.0,NONLEADER
427,29015.0,6639.0,1401.0,NONLEADER
428,13957.0,5979.0,1005.0,NONLEADER
429,100.0,26.0,5.0,NONLEADER
430,6607.0,4277.0,887.0,NONLEADER
431,22113.0,12969.0,2585.0,NONLEADER
432,821.0,337.0,42.0,NONLEADER
433,7276.0,2551.0,389.0,NONLEADER
434,19008.0,8198.0,2068.0,NONLEADER
435,11325.0,3506.0,816.0,NONLEADER
436,247.0,87.0,43.0,NONLEADER
437,30516.0,18697.0,3369.0,NONLEADER
438,3178.0,1250.0,200.0,NONLEADER
439,6775.0,3029.0,847.0,NONLEADER
440,603.0,188.0,44.0,NONLEADER
441,182.0,37.0,6.0,NONLEADER
442,3140.0,1112.0,185.0,NONLEADER
443,2008.0,700.0,204.0,NONLEADER
444,62.0,26.0,4.0,NONLEADER
445,7842.0,2918.0,403.0,NONLEADER
446,8497.0,3682.0,708.0,NONLEADER
447,462.0,185.0,64.0,NONLEADER
448,10.0,3.0,1.0,NONLEADER
449,570.0,290.0,50.0,NONLEADER
450,947.0,244.0,80.0,NONLEADER
451,23.0,7.0,5.0,NONLEADER
452,666.0,120.0,76.0,NONLEADER
453,536.0,174.0,54.0,NONLEADER
454,26527.0,13025.0,4427.0,NONLEADER
455,9895.0,4353.0,504.0,NONLEADER
456,1336.0,625.0,97.0,NONLEADER
457,7.0,0.0,0.0,NONLEADER
458,14556.0,8390.0,1456.0,NONLEADER
459,4754.0,1691.0,325.0,NONLEADER
460,504.0,217.0,96.0,NONLEADER
461,1144.0,479.0,74.0,NONLEADER
462,52.0,20.0,5.0,NONLEADER
463,17502.0,4787.0,1639.0,NONLEADER
464,25101.0,10286.0,1111.0,NONLEADER
465,10617.0,4939.0,490.0,NONLEADER
466,1172.0,423.0,49.0,NONLEADER
467,814.0,354.0,101.0,NONLEADER
468,10933.0,5165.0,656.0,NONLEADER
469,4509.0,1794.0,219.0,NONLEADER
470,2664.0,1083.0,232.0,NONLEADER
471,2660.0,1161.0,230.0,NONLEADER
472,5093.0,2204.0,422.0,NONLEADER
473,3524.0,1705.0,671.0,NONLEADER
474,9330.0,4637.0,1333.0,NONLEADER
475,2040.0,964.0,414.0,NONLEADER
476,14980.0,6595.0,1295.0,NONLEADER
477,52.0,14.0,0.0,NONLEADER
478,4874.0,2467.0,359.0,NONLEADER
479,15095.0,11111.0,2316.0,NONLEADER
480,8014.0,3394.0,1012.0,NONLEADER
481,262.0,89.0,22.0,NONLEADER
482,5172.0,2119.0,304.0,NONLEADER
483,2783.0,1141.0,164.0,NONLEADER
484,23850.0,11083.0,4317.0,NONLEADER
485,94.0,22.0,2.0,NONLEADER
486,374.0,141.0,14.0,NONLEADER
487,34654.0,25117.0,6481.0,NONLEADER
488,1844.0,1008.0,262.0,NONLEADER
489,19654.0,6719.0,1143.0,NONLEADER
490,7451.0,3014.0,642.0,NONLEADER
491,14759.0,5320.0,3506.0,NONLEADER
492,25173.0,9256.0,1025.0,NONLEADER
493,5772.0,2700.0,833.0,NONLEADER
494,3539.0,1599.0,186.0,NONLEADER
495,15051.0,6060.0,1069.0,NONLEADER
496,931.0,306.0,34.0,NONLEADER
497,60.0,24.0,6.0,NONLEADER
498,10111.0,3682.0,875.0,NONLEADER
499,335.0,138.0,32.0,NONLEADER
500,20311.0,10438.0,2669.0,NONLEADER
501,1435.0,542.0,73.0,NONLEADER
502,7705.0,3860.0,404.0,NONLEADER
503,965.0,267.0,53.0,NONLEADER
504,24046.0,12180.0,1631.0,NONLEADER
505,39966.0,20405.0,2944.0,NONLEADER
506,0.0,0.0,0.0,NONLEADER
507,2723.0,1121.0,130.0,NONLEADER
508,11438.0,3581.0,617.0,NONLEADER
509,1235.0,400.0,65.0,NONLEADER
510,4071.0,1307.0,243.0,NONLEADER
511,16337.0,12020.0,4645.0,NONLEADER
512,2060.0,922.0,182.0,NONLEADER
513,3595.0,1597.0,375.0,NONLEADER
514,16.0,9.0,0.0,NONLEADER
515,695.0,225.0,61.0,NONLEADER
516,85.0,19.0,8.0,NONLEADER
517,1857.0,518.0,82.0,NONLEADER
518,13259.0,5650.0,774.0,NONLEADER
519,6856.0,3448.0,462.0,NONLEADER
520,7349.0,2813.0,1582.0,NONLEADER
521,4843.0,2089.0,580.0,NONLEADER
522,1530.0,497.0,102.0,NONLEADER
523,21266.0,7154.0,833.0,NONLEADER
524,494.0,300.0,41.0,NONLEADER
525,32.0,6.0,4.0,NONLEADER
526,11530.0,6798.0,1425.0,NONLEADER
527,215.0,63.0,48.0,NONLEADER
528,88.0,44.0,4.0,NONLEADER
529,13466.0,6894.0,3510.0,NONLEADER
530,1238.0,478.0,106.0,NONLEADER
531,10188.0,6202.0,1403.0,NONLEADER
532,592.0,190.0,67.0,NONLEADER
533,14250.0,5168.0,2994.0,NONLEADER
534,4070.0,1924.0,635.0,NONLEADER
535,32.0,5.0,2.0,NONLEADER
536,3902.0,1382.0,778.0,NONLEADER
537,3633.0,2638.0,442.0,NONLEADER
538,1935.0,698.0,222.0,NONLEADER
539,1497.0,477.0,121.0,NONLEADER
540,2380.0,691.0,253.0,NONLEADER
541,4909.0,1827.0,225.0,NONLEADER
542,11650.0,5103.0,859.0,NONLEADER
543,1075.0,310.0,98.0,NONLEADER
544,5122.0,1669.0,394.0,NONLEADER
545,63.0,24.0,14.0,NONLEADER
546,1800.0,599.0,88.0,NONLEADER
547,1625.0,796.0,83.0,NONLEADER
548,7808.0,3302.0,754.0,NONLEADER
549,1193.0,536.0,54.0,NONLEADER
550,23399.0,14870.0,2839.0,NONLEADER
551,2943.0,1034.0,97.0,NONLEADER
552,4362.0,1717.0,254.0,NONLEADER
553,6714.0,5279.0,920.0,NONLEADER
554,3.0,0.0,0.0,NONLEADER
0,43665.0,29428.0,3119.0,LEADER
1,47762.0,19711.0,15806.0,LEADER
2,51369.0,31560.0,3651.0,LEADER
3,42886.0,31926.0,5142.0,LEADER
4,38074.0,17387.0,10335.0,LEADER
5,43886.0,26710.0,9887.0,LEADER
6,48654.0,33643.0,6306.0,LEADER
7,54989.0,18992.0,13393.0,LEADER
8,33245.0,17707.0,10141.0,LEADER
9,51160.0,33953.0,4893.0,LEADER
10,44749.0,13932.0,11930.0,LEADER
11,43111.0,27265.0,10443.0,LEADER
12,57446.0,38387.0,5660.0,LEADER
13,35516.0,18822.0,9061.0,LEADER
14,58802.0,42020.0,11542.0,LEADER
15,46264.0,30259.0,3643.0,LEADER
16,45371.0,22925.0,12449.0,LEADER
17,54852.0,36928.0,5248.0,LEADER
18,41008.0,32292.0,5633.0,LEADER
