,GAME_ID,TEAM_NAME,WL
669,0022300307,Nuggets,W
670,0022300307,Bulls,L
671,0022300309,Clippers,W
672,0022300308,Suns,W
673,0022300309,Kings,L
674,0022300305,Cavaliers,L
675,0022300308,Warriors,L
676,0022300306,Lakers,L
677,0022300305,Celtics,W
678,0022300312,Heat,W
679,0022300317,Suns,L
680,0022300311,Pelicans,W
681,0022300310,76ers,W
682,0022300312,Hornets,L
683,0022300313,Raptors,W
684,0022300318,Knicks,L
685,0022300314,Grizzlies,L
686,0022300315,Pacers,L
687,0022300315,Bucks,W
688,0022300313,Hawks,L
689,0022300314,Rockets,W
690,0022300310,Pistons,L
691,0022300311,Wizards,L
692,0022300317,Nets,W
693,0022300318,Jazz,W
694,0022300316,Spurs,L
695,0022300316,Lakers,W
696,0022300324,Kings,W
697,0022300322,Nuggets,W
698,0022300320,Heat,L
699,0022300321,Mavericks,L
700,0022300319,Celtics,W
701,0022300324,Thunder,L
702,0022300322,Nets,L
703,0022300325,Warriors,L
704,0022300323,Trail Blazers,L
705,0022300320,Bulls,W
706,0022300321,Timberwolves,W
707,0022300323,Jazz,W
708,0022300325,Clippers,W
709,0022300319,Cavaliers,L
710,0022300327,Pistons,L
711,0022300331,Lakers,L
712,0022300328,Pacers,L
713,0022300332,Grizzlies,L
714,0022300333,Knicks,W
715,0022300329,Magic,L
716,0022300333,Suns,L
717,0022300332,Rockets,W
718,0022300328,Wizards,W
719,0022300330,Raptors,L
720,0022300331,Spurs,W
721,0022300329,Celtics,W
722,0022300326,Pelicans,W
723,0022300326,Hornets,L
724,0022300330,Hawks,W
725,0022300327,76ers,W
726,0022300335,Hornets,L
727,0022300341,Trail Blazers,L
728,0022300334,Bucks,W
729,0022300343,Clippers,W
730,0022300341,Mavericks,W
731,0022300338,Timberwolves,W
732,0022300339,Warriors,W
733,0022300342,Kings,W
734,0022300340,Thunder,W
735,0022300338,Pacers,L
736,0022300337,Heat,W
737,0022300343,Knicks,L
738,0022300336,Cavaliers,W
739,0022300335,76ers,W
740,0022300334,Pistons,L
741,0022300339,Nets,L
742,0022300340,Nuggets,L
743,0022300337,Bulls,L
744,0022300336,Hawks,L
745,0022300342,Jazz,L
746,0022300348,Warriors,W
747,0022300345,Pelicans,W
748,0022300347,Suns,W
749,0022300344,Celtics,W
750,0022300346,Rockets,L
751,0022300347,Wizards,L
752,0022300345,Spurs,L
753,0022300344,Magic,L
754,0022300348,Trail Blazers,L
755,0022300346,Bucks,W
756,0022300352,Pistons,L
757,0022300350,Pacers,L
758,0022300355,Grizzlies,L
759,0022300357,Jazz,W
760,0022300349,Cavaliers,W
761,0022300358,Wizards,L
762,0022300353,Heat,L
763,0022300359,Lakers,L
764,0022300352,Hawks,W
765,0022300353,Timberwolves,W
766,0022300351,76ers,L
767,0022300359,Knicks,W
768,0022300354,Hornets,L
769,0022300350,Clippers,W
770,0022300357,Nets,L
771,0022300356,Mavericks,L
772,0022300358,Kings,W
773,0022300356,Nuggets,W
774,0022300355,Thunder,W
775,0022300354,Raptors,W
776,0022300349,Rockets,L
777,0022300351,Bulls,W
778,0022300360,Grizzlies,W
779,0022300363,Suns,L
780,0022300361,Spurs,L
781,0022300362,Warriors,W
782,0022300361,Bucks,W
783,0022300363,Trail Blazers,W
784,0022300360,Pelicans,L
785,0022300362,Celtics,L
786,0022300368,Knicks,W
787,0022300370,Lakers,L
788,0022300373,Celtics,W
789,0022300366,Heat,W
790,0022300372,Clippers,W
791,0022300371,Rockets,L
792,0022300367,76ers,W
793,0022300369,Raptors,L
794,0022300369,Nuggets,W
795,0022300364,Cavaliers,W
796,0022300366,Magic,L
797,0022300365,Pacers,W
798,0022300364,Jazz,L
799,0022300368,Nets,L
800,0022300367,Timberwolves,L
801,0022300365,Hornets,L
802,0022300371,Hawks,W
803,0022300372,Mavericks,L
804,0022300373,Kings,L
805,0022300370,Bulls,W
806,0022300379,Clippers,L
807,0022300377,Grizzlies,W
808,0022300378,Bucks,W
809,0022300378,Magic,L
810,0022300374,Pistons,L
811,0022300381,Trail Blazers,L
812,0022300380,Lakers,L
813,0022300379,Thunder,W
814,0022300376,Bulls,W
815,0022300377,Pacers,L
816,0022300381,Wizards,W
817,0022300375,Cavaliers,L
818,0022300376,Spurs,L
819,0022300375,Pelicans,W
820,0022300374,Jazz,W
821,0022300380,Timberwolves,W
822,0022300386,Warriors,W
823,0022300382,76ers,W
824,0022300386,Wizards,L
825,0022300383,Nuggets,W
826,0022300384,Heat,W
827,0022300383,Nets,L
828,0022300382,Raptors,L
829,0022300387,Kings,W
830,0022300387,Suns,L
831,0022300384,Hawks,L
832,0022300385,Rockets,W
833,0022300385,Mavericks,L
834,0022300392,Pelicans,L
835,0022300389,Celtics,W
836,0022300388,Bucks,W
837,0022300394,Nets,W
838,0022300396,Bulls,L
839,0022300397,Lakers,W
840,0022300390,Hornets,L
841,0022300391,Magic,W
842,0022300395,Raptors,L
843,0022300389,Clippers,L
844,0022300398,Spurs,L
845,0022300393,Grizzlies,W
846,0022300390,Nuggets,W
847,0022300394,Pistons,L
848,0022300393,Hawks,L
849,0022300400,Timberwolves,W
850,0022300396,Cavaliers,W
851,0022300398,Mavericks,W
852,0022300400,Kings,L
853,0022300399,Trail Blazers,L
854,0022300395,Jazz,W
855,0022300399,Warriors,W
856,0022300392,Rockets,W
857,0022300388,Knicks,L
858,0022300397,Thunder,L
859,0022300391,Pacers,L
860,0022300403,Lakers,L
861,0022300401,Knicks,W
862,0022300405,Suns,L
863,0022300405,Mavericks,W
864,0022300404,Heat,W
865,0022300402,Warriors,L
866,0022300402,Nuggets,W
867,0022300404,76ers,L
868,0022300403,Celtics,W
869,0022300401,Bucks,L
870,0022300411,Timberwolves,L
871,0022300414,Hornets,L
872,0022300413,Trail Blazers,W
873,0022300410,Grizzlies,W
874,0022300410,Pelicans,L
875,0022300406,Pistons,L
876,0022300407,Wizards,L
877,0022300412,Jazz,W
878,0022300409,Rockets,L
879,0022300413,Kings,L
880,0022300411,Thunder,W
881,0022300408,Hawks,L
882,0022300407,Magic,W
883,0022300408,Bulls,W
884,0022300406,Nets,W
885,0022300409,Pacers,W
886,0022300412,Spurs,L
887,0022300414,Clippers,W
888,0022300418,Rockets,L
889,0022300415,Magic,L
890,0022300415,76ers,W
891,0022300420,Mavericks,L
892,0022300417,Bucks,W
893,0022300418,Suns,W
894,0022300416,Raptors,W
895,0022300419,Knicks,L
896,0022300416,Wizards,L
897,0022300419,Thunder,W
898,0022300417,Nets,L
899,0022300420,Cavaliers,W
900,0022300421,Celtics,W
901,0022300423,Mavericks,L
902,0022300427,Spurs,W
903,0022300425,Nuggets,W
904,0022300423,Timberwolves,W
905,0022300424,Jazz,L
906,0022300427,Trail Blazers,L
907,0022300424,Pelicans,W
908,0022300421,Pistons,L
909,0022300428,Lakers,W
910,0022300426,Warriors,L
911,0022300428,Hornets,L
912,0022300422,Bulls,L
913,0022300422,Pacers,W
914,0022300425,Grizzlies,L
915,0022300426,Heat,W
916,0022300436,Suns,W
917,0022300438,Clippers,W
918,0022300435,Thunder,W
919,0022300433,Bucks,W
920,0022300429,Knicks,L
921,0022300435,Nuggets,L
922,0022300437,Trail Blazers,W
923,0022300433,Cavaliers,L
924,0022300434,Rockets,L
925,0022300431,Hawks,L
926,0022300437,Spurs,L
927,0022300430,Nets,L
928,0022300434,76ers,W
929,0022300432,Raptors,L
930,0022300436,Hornets,L
931,0022300431,Kings,W
932,0022300438,Grizzlies,L
933,0022300429,Magic,W
934,0022300430,Wizards,W
935,0022300432,Celtics,W
936,0022300440,Pistons,W
937,0022300441,Pacers,W
938,0022300444,Mavericks,W
939,0022300442,76ers,L
940,0022300439,Jazz,W
941,0022300443,Lakers,L
942,0022300439,Heat,L
943,0022300444,Warriors,L
944,0022300441,Knicks,L
945,0022300443,Timberwolves,W
946,0022300442,Bulls,W
947,0022300440,Raptors,L
948,0022300448,Celtics,W
949,0022300445,Hawks,W
950,0022300449,Kings,W
951,0022300447,Nets,L
952,0022300450,Suns,W
953,0022300446,Pelicans,W
954,0022300449,Grizzlies,L
955,0022300450,Magic,L
956,0022300448,Spurs,L
957,0022300447,Thunder,W
958,0022300445,Wizards,L
959,0022300446,Lakers,L
960,0022300455,Nuggets,W
961,0022300453,Pistons,L
962,0022300456,Suns,W
963,0022300457,Mavericks,L
964,0022300458,Clippers,W
965,0022300454,Pacers,W
966,0022300457,Jazz,W
967,0022300451,Knicks,W
968,0022300452,Cavaliers,L
969,0022300456,Trail Blazers,L
970,0022300458,Heat,L
971,0022300452,Raptors,W
972,0022300451,Timberwolves,L
973,0022300454,Bucks,L
974,0022300453,Rockets,W
975,0022300455,Hornets,L
976,0022300460,Grizzlies,W
977,0022300464,Hornets,W
